"Sex" "Fat" "StorageTime" "Year"
"F" 2.78 1579 2012
"F" 5.916 1567 2012
"F" 8.865 4 2012
"F" 95.155 403 2012
"F" 48.737 19 2012
"M" 7.247 9 2012
"M" 13.53 3 2012
"M" 7.69 500 2012
"M" 2.948 34 2012
"F" 1.931 1847 2012
"F" 2.8 10 2012
"M" 6 9 2012
"F" 8.121 54 2012
"M" 1.789 63 2012
"F" 6.014 5 2015
"F" 8.955 528 2015
"F" 2.306 24 2015
"M" 2.884 126 2015
"M" 1.317 12 2015
"M" 3.333 12 2015
"M" 0.754 59 2015
"M" 5.067 122 2015
"F" 3.131 43 2015
"M" 10.751 43 2015
"M" 5.798 62 2015
"M" 0.318 60 2015
"F" 1.549 25 2015
"F" 0.796 119 2015
"M" 1.335 345 2015
"F" 25.04 345 2015
"M" 2.962 27 2015
"M" 1.06 733 2015
"M" 1.443 337 2015
"M" 1.232 484 2015
"M" 6.144 140 2015
"M" 1.021 338 2015
"M" 0.5863 16 2015
"M" 0.386 332 2015
"M" 0.357 35 2015
"M" 0.575 16 2015
"M" 0.267 35 2015
"M" 0.31 35 2015
"F" 0.31 23 2015
"M" 1.69 331 2015
"F" 1.884 159 2015
"F" 11.932 203 2015
"F" 7.461 99 2015
"M" 29.176 42 2015
"F" 0.661 4 2015
"M" 0.454 476 2015
"F" 3.187 476 2015
"F" 4.017 17 2015
"F" 5.485 326 2015
"F" 1.257 7 2015
"M" 0.415 7 2015
"M" 1.533 176 2015
"M" 4.096 176 2015
"F" 0.621 209 2015
"F" 0.539 40 2015
"F" 1.447 328 2015
"M" 5.26 144 2015
"M" 0.384 9 2015
"M" 3.989 118 2015
"F" 0.531 16 2015
"M" 2.938 174 2015
"M" 0.641 174 2015
"M" 2.252 75 2015
"F" 1.621 313 2015
"F" 2.363 116 2015
"F" 6.393 125 2015
"M" 0.775 130 2015
"F" 61.462 732 2015
"M" 0.56 163 2015
"M" 0.282 308 2015
"F" 2.227 334 2015
"F" 3.144 155 2015
"F" 0.97 334 2015
"M" 2.176 523 2015
"F" 21.838 125 2015
"F" 1.323 96 2015
"F" 2.018 108 2015
"F" 0.454 136 2015
"F" 4.982 23 2015
"M" 1.61 327 2015
"F" 2.48 327 2015
"F" 3.533 295 2015
"M" 1.568 309 2015
"M" 0.95 326 2015
"F" 3.893 161 2015
"F" 4.437 161 2015
"F" 3.845 326 2015
"M" 6.424 685 2015
"F" 0.155 2 2015
"M" 2.348 322 2015
"F" 8.695 2 2015
"F" 7.701 2 2015
"F" 1.695 2 2015
"F" 4.037 315 2015
"M" 13.425 315 2015
"M" 5.154 8 2015
"M" 3.444 311 2015
"F" 1.254 308 2015
"M" 2.58 440 2015
"F" 4.729 755 2015
"F" 2.359 263 2015
"F" 13.494 101 2015
"F" 4.782 300 2015
"M" 1.265 299 2015
"M" 4.493 299 2015
"M" 7.852 299 2015
"F" 35.587 670 2015
"F" 24.516 691 2015
"M" 26.182 90 2015
"F" 0.378 279 2015
"F" 18.206 292 2015
"F" 0.305 35 2015
"F" 0.52 249 2015
"F" 20.775 40 2015
"F" 9.883 249 2015
"M" 77.748 81 2015
"M" 18.763 40 2015
"F" 1.612 28 2015
"F" 5.192 28 2015
"M" 47.63 145 2015
"F" 0.491 40 2015
"M" 0.205 40 2015
"M" 0.952 36 2015
"M" 1.315 48 2015
"M" 2.651 237 2015
"F" 0.544 275 2015
"F" 6.18 251 2015
"M" 0.427 237 2015
"M" 2.831 275 2015
"M" 21.814 69 2015
"F" 21.555 47 2015
"M" 43.587 55 2015
"F" 0.306 20 2015
"M" 53.885 73 2015
"M" 3.599 216 2015
"F" 0.477 214 2015
"M" 0.515 6 2015
"M" 0.084 212 2015
"F" 8.362 210 2015
"M" 2.208 133 2015
"M" 1.029 2 2015
"M" 2.36 133 2015
"M" 1.891 133 2015
"M" 0.556 236 2015
"F" 2.107 1 2015
"F" 2.033 132 2015
"M" 38.888 1 2015
"F" 0.458 266 2015
"M" 46.985 208 2015
"M" 0.276 208 2015
"M" 0.788 233 2015
"F" 0.877 260 2015
"F" 1.71 260 2015
"M" 32.65 125 2015
"M" 26.262 96 2015
"M" 39.745 96 2015
"M" 0.591 294 2012
"M" 16.26 239 2015
"F" 12.159 174 2015
"M" 7.558 172 2015
"M" 5.794 95 2015
"M" 6.529 172 2015
"F" 7.685 168 2015
"M" 11.835 88 2015
"M" 9.095 193 2015
"M" 10.088 88 2015
"F" 4.83 160 2015
"M" 1.939 502 2016
"F" 58.692 472 2016
"M" 17.316 454 2016
"F" 171.405 466 2016
"M" 20.803 253 2016
"M" 14.002 449 2016
"M" 32.306 427 2016
"F" 20.988 283 2012
"M" 1.028 434 2016
"F" 48.248 496 2016
"F" 19.676 498 2016
"M" 1.697 420 2016
