"Fat" "Weight" "Length"
54.479 1030 29.4
21.896 1560 34.5
10.885 880 29.5
21.575 990 32
4.804 750 29.1
23.753 1780 37.4
9.132 1000 30
1.109 860 30.2
0.492 320 20.4
2.461 420 22.7
0.126 180 18.5
0.512 920 31
1.963 320 22.5
4.086 610 25.9
0.586 100 14.6
13.482 1400 33.3
1.813 540 25
0.568 590 26.6
0.54 470 24.7
0.581 810 30
0.973 420 24.6
6.902 320 20.4
0.1 80 13.8
0.238 350 23.5
0.105 110 16.9
3.784 660 27.4
0.326 220 19.1
3.393 860 29.3
4.271 940 29.4
1.212 610 27.4
0.024 170 18
5.057 1690 36.5
0.772 490 25
1.042 590 26.4
0.967 610 27.4
0.686 470 25.1
0.827 1120 33
1.7 670 27.5
0.349 440 23
0.258 320 20.8
0.573 220 19.7
2.652 1230 32.5
0.199 180 18.6
0.584 470 24.9
0.835 620 26.2
21.171 680 26
0.016 120 16.1
0.711 410 22.6
6.61 470 23.8
1.2 580 25.5
0.11 170 17.7
0.5 340 23.6
2.947 470 23.2
0.865 440 24
0.959 350 22.3
0.138 330 21.6
3.988 640 26.9
1.232 210 19.1
1.103 390 22.6
0.255 260 20.1
2.916 730 28.4
0.568 300 21
1.262 450 25.2
0.115 270 21
2.841 620 26.1
0.142 250 20
0.462 210 19.4
0.169 140 16.6
0.776 190 18
1.159 280 20.5
0.547 530 25.5
6.889 650 27
3.392 360 22.3
3.065 400 23.4
1.298 490 25.3
8.773 410 23.7
3.958 480 24.5
1.408 200 18.9
3.379 320 21
1.151 470 24.4
0.844 300 21.2
29.902 890 29.4
0.481 340 22.9
0.593 290 21.6
0.641 670 27.6
0.187 74 12.7
2.306 700 26.9
0.101 70 12.8
1.522 300 20.7
30.022 920 30
0.085 48.3 11.3
2.821 490 24
0.953 370 22.6
0.026 90 14.6
1.246 70 12.5
3.838 520 24.4
2.978 360 21
0.224 54.9 13
0.307 280 20.6
1.877 520 25.2
0.242 270 21.5
0.342 150 16.9
20.815 640 26.1
0.095 130 15.9
17.484 680 27.9
1.388 360 21.9
6.596 340 21.6
28.842 780 26.6
7.425 340 21.8
5.526 310 20
0.133 80 13.8
0.361 170 18
6.961 440 23.7
0.06 55.7 13.1
0.276 76 13.9
5.383 380 23
5.634 400 23.6
3.362 180 17.7
4.207 88 14.4
15.872 530 24.5
16.653 470 24.1
0.839 160 17.3
4.014 230 19.4
1.616 250 20.2
0.202 100 14.2
32.226 620 25.9
48.815 610 25.3
2.981 270 19.6
0.862 180 18.1
72.028 770 26.8
